"age","len_mar_stat","count"
"66","40",766
"34","20",352
"51","6",166
"48","6",274
"36","3",901
"22","9",173
"69","53",47
"84","53",11
"28","11",1644
"76","22",10
"35","22",141
"67","9",36
"58","9",80
"75","31",28
"50","31",1163
"41","99",6883
"62","35",729
"46","11",361
"68","30",202
"61","30",524
"57","40",441
"41","15",1865
"42","17",2070
"57","13",127
"53","13",186
"63","32",327
"29","18",51
"55","21",299
"60","29",347
"44","12",793
"50","12",472
"90","99",494
"49","8",283
"17","3",261
"69","30",154
"60","12",141
"55","12",208
"41","11",926
"68","37",130
"48","15",611
"65","33",282
"61","42",387
"60","23",230
"58","37",633
"56","37",524
"56","4",109
"46","4",220
"47","18",950
"50","1",362
"58","36",712
"65","34",312
"59","35",1013
"56","33",1282
"68","45",471
"47","28",1329
"47","31",343
"52","3",150
"54","3",134
"50","27",1935
"81","44",9
"73","44",139
"66","43",483
"75","47",109
"67","47",316
"43","7",457
"66","32",178
"61","32",404
"86","99",764
"53","16",257
"42","6",504
"39","9",1249
"74","2",9
"53","2",122
"77","30",52
"21","9",75
"42","24",1312
"80","30",52
"67","30",233
"76","52",142
"74","52",184
"31","17",227
"49","18",692
"40","0",380
"54","24",558
"75","20",48
"13","0",27
"60","14",156
"43","19",2042
"69","40",424
"64","30",380
"45","0",222
"48","31",577
"41","25",653
"87","99",661
"52","24",798
"47","16",685
"43","16",1434
"36","20",1016
"80","24",9
"58","40",672
"39","13",2075
"59","19",112
"68","38",208
"59","38",640
"100","99",71
"41","13",1229
"55","19",265
"44","3",309
"51","21",490
"39","21",1338
"19","5",301
"43","26",861
"69","46",308
"65","46",305
"41","16",1982
"77","45",67
"51","7",158
"44","36",14
"41","36",7
"15","0",305
"43","30",137
"74","50",291
"34","22",61
"55","14",193
"14","1",55
"85","25",8
"65","25",202
"30","13",1863
"65","44",456
"44","17",1315
"38","22",847
"52","12",266
"65","39",374
"67","39",233
"64","19",55
"44","13",718
"36","13",2705
"40","11",1475
"49","0",125
"65","22",105
"63","31",231
"49","20",1237
"65","20",202
"57","20",313
"63","44",369
"46","1",275
"47","15",679
"48","11",348
"62","24",125
"85","99",1086
"56","7",115
"49","35",215
"46","6",321
"31","3",1788
"59","36",717
"57","36",731
"76","46",77
"66","46",371
"43","4",373
"25","13",115
"79","60",41
"75","60",30
"63","29",145
"53","14",201
"26","12",444
"47","3",219
"58","16",129
"59","34",856
"59","21",124
"63","40",1060
"70","8",42
"60","8",116
"24","12",120
"53","22",483
"47","13",437
"72","48",280
"53","9",151
"58","12",155
"59","15",135
"32","20",97
"70","26",63
"65","26",132
"49","4",209
"43","29",138
"40","29",43
"45","35",77
"56","18",224
"55","36",770
"56","36",830
"70","42",211
"58","42",209
"66","38",281
"55","38",404
"47","36",31
"57","17",159
"57","15",153
"62","15",105
"50","9",298
"77","55",103
"70","55",34
"54","12",214
"46","33",66
"66","36",207
"63","36",448
"55","10",261
"84","64",17
"80","64",10
"44","27",849
"62","41",497
"68","33",149
"60","21",161
"54","25",899
"44","11",543
"95","99",100
"80","48",29
"62","33",510
"65","31",158
"58","39",544
"60","39",706
"82","60",53
"51","2",158
"34","12",3499
"52","26",1180
"80","54",50
"54","6",134
"39","8",1193
"47","8",292
"67","41",290
"45","9",487
"64","9",47
"61","9",39
"75","46",115
"23","11",78
"73","34",35
"57","34",1034
"25","14",69
"52","22",666
"61","40",860
"18","5",95
"56","32",1236
"68","16",47
"59","16",107
"80","61",13
"57","29",488
"70","48",319
"68","48",310
"55","22",421
"67","48",275
"48","18",860
"75","5",16
"75","52",178
"73","52",158
"55","29",822
"53","5",141
"54","5",127
"18","6",34
"54","10",199
"58","34",1010
"44","19",1768
"78","58",35
"74","58",17
"109","99",54
"64","43",536
"55","3",140
"46","3",227
"78","52",89
"71","52",152
"52","6",184
"55","20",599
"32","0",811
"65","50",155
"55","39",277
"49","39",22
"54","23",417
"60","3",125
"56","3",115
"63","43",480
"70","43",257
"56","34",1274
"51","37",72
"58","22",229
"48","5",284
"25","15",55
"69","45",473
"59","41",315
"55","41",52
"66","48",236
"49","33",415
"61","24",129
"63","12",57
"44","4",303
"76","53",113
"32","6",2543
"22","8",449
"27","14",169
"34","23",33
"70","4",30
"80","4",11
"69","25",85
"42","11",873
"53","34",931
"71","36",57
"69","36",93
"41","27",149
"40","27",156
"65","12",80
"43","12",881
"56","25",607
"62","20",177
"70","32",84
"50","5",335
"37","6",1052
"47","21",1227
"74","12",20
"54","17",234
"64","28",159
"78","60",30
"70","60",6
"68","3",45
"68","36",144
"51","15",361
"49","6",207
"68","55",17
"61","28",197
"77","57",61
"73","57",21
"70","10",63
"70","35",256
"65","35",589
"51","11",203
"55","27",760
"62","30",545
"71","44",173
"53","38",127
"68","52",60
"55","16",246
"76","42",45
"57","42",102
"58","35",1164
"49","2",191
"45","2",324
"75","45",166
"38","25",148
"43","6",385
"49","7",221
"50","36",196
"43","9",554
"49","11",267
"72","40",227
"69","29",56
"54","29",923
"56","26",524
"23","13",20
"80","50",149
"73","47",161
"64","47",149
"30","19",73
"48","8",334
"75","35",102
"39","27",41
"75","44",76
"53","19",304
"41","24",782
"52","5",162
"76","29",13
"62","29",197
"79","52",72
"67","52",41
"53","6",155
"44","6",361
"55","40",365
"69","32",76
"49","13",324
"63","1",81
"64","35",480
"22","13",21
"94","99",96
"32","19",118
"66","41",346
"30","22",24
"77","2",15
"73","51",190
"68","51",78
"54","32",1365
"69","47",311
"72","47",257
"77","49",76
"67","49",225
"68","40",521
"62","6",60
"41","6",472
"74","55",84
"43","10",831
"77","6",7
"74","6",14
"42","2",401
"44","2",284
"34","0",577
"52","36",268
"68","53",31
"50","38",80
"49","38",28
"66","34",249
"53","32",1349
"84","46",8
"74","46",137
"61","44",207
"61","38",531
"59","30",924
"72","53",108
"70","47",320
"39","26",108
"49","12",353
"21","8",154
"78","47",40
"76","47",105
"71","48",278
"80","39",11
"70","18",44
"60","18",197
"70","52",141
"20","8",75
"62","39",608
"52","4",163
"46","14",574
"54","31",1137
"62","40",1103
"33","0",712
"55","13",166
"52","13",230
"60","27",356
"68","27",59
"64","44",480
"52","2",137
"42","5",511
"36","2",746
"80","47",35
"74","47",153
"57","30",1162
"67","13",35
"63","20",138
"64","3",60
"61","12",69
"59","12",98
"47","14",486
"61","18",91
"57","18",176
"26","15",57
"65","24",88
"64","23",82
"61","21",76
"58","21",180
"71","25",50
"77","24",12
"60","24",238
"46","7",290
"98","99",183
"48","9",273
"35","2",1129
"69","26",54
"57","24",296
"66","44",460
"41","10",1019
"69","23",37
"53","4",121
"27","23",4
"68","35",227
"72","43",131
"60","43",269
"44","9",465
"58","3",89
"46","2",217
"74","34",42
"67","33",193
"66","33",220
"17","4",67
"71","32",54
"69","14",28
"57","14",126
"59","24",206
"27","17",30
"48","17",642
"56","17",197
"37","23",182
"58","28",458
"66","47",292
"72","49",228
"66","49",149
"78","30",39
"66","30",254
"70","5",40
"55","5",170
"76","50",233
"66","50",164
"59","7",83
"57","10",130
"67","40",607
"75","54",108
"71","54",54
"69","5",30
"89","99",356
"44","0",164
"53","12",219
"69","12",36
"68","12",48
"64","34",356
"63","50",37
"59","42",284
"35","26",21
"59","11",68
"65","37",287
"72","44",144
"43","2",295
"39","2",568
"64","39",440
"61","39",533
"67","7",36
"66","31",134
"46","10",512
"69","37",110
"52","37",142
"51","36",135
"64","41",451
"87","40",8
"65","0",39
"42","30",112
"80","37",17
"69","39",139
"57","39",399
"66","45",558
"16","4",21
"24","14",49
"42","28",207
"70","45",458
"54","18",273
"58","4",84
"47","4",219
"77","53",104
"71","53",62
"43","21",1865
"64","14",62
"82","61",13
"79","49",46
"75","49",133
"64","36",363
"50","11",335
"62","18",117
"81","61",8
"77","61",8
"76","40",112
"53","1",160
"69","44",288
"61","7",53
"68","25",74
"34","25",26
"73","50",368
"34","2",1000
"54","36",548
"51","35",428
"50","3",283
"47","38",7
"31","18",114
"42","31",35
"30","21",26
"49","34",216
"44","31",63
"53","20",610
"40","34",21
"65","16",78
"70","46",295
"46","32",124
"67","53",28
"35","23",71
"47","33",119
"69","34",115
"71","30",89
"66","13",44
"60","13",119
"60","10",177
"56","43",27
"64","25",131
"68","13",31
"75","14",14
"70","1",69
"59","1",120
"42","26",609
"69","16",31
"52","16",313
"46","5",298
"62","16",75
"105","99",5
"75","30",88
"80","33",16
"70","33",106
"75","4",17
"57","37",578
"54","37",367
"65","15",95
"63","19",78
"54","19",268
"80","45",44
"64","45",386
"63","3",71
"56","9",110
"62","22",127
"82","35",18
"71","42",143
"74","30",65
"70","16",47
"32","23",17
"65","18",74
"41","7",564
